City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Saint George,US,2022-02-09 18:42:35,37.1041,-113.5841,61.36,20,0,5.75
185,Klaksvik,FO,2022-02-09 18:47:20,62.2266,-6.589,32.92,98,100,12.5
186,Progreso,MX,2022-02-09 18:46:53,21.2833,-89.6667,78.12,61,14,10.36
187,Mut,TR,2022-02-09 18:47:21,36.6439,33.4389,38.48,81,35,7.29
188,Flinders,AU,2022-02-09 18:47:21,-34.5833,150.8552,64.26,82,4,5.99
189,Saldanha,ZA,2022-02-09 18:47:21,-33.0117,17.9442,69.85,89,0,7.45
190,Vila Velha,BR,2022-02-09 18:45:44,-20.3297,-40.2925,75.94,82,40,14.97
191,Nouadhibou,MR,2022-02-09 18:47:22,20.931,-17.0347,89.58,11,49,4.61
192,Ulladulla,AU,2022-02-09 18:47:22,-35.35,150.4667,64.09,60,6,4.12
193,Tupik,RU,2022-02-09 18:47:23,54.4253,119.9327,-4.16,99,100,1.57
194,Cidreira,BR,2022-02-09 18:47:24,-30.1811,-50.2056,74.64,62,27,11.41
195,Honningsvag,NO,2022-02-09 18:47:24,70.9821,25.9704,26.35,74,20,29.93
196,Yuzhnyy,RU,2022-02-09 18:47:25,53.2542,83.6936,-3.62,65,0,11.18
197,Kalmunai,LK,2022-02-09 18:47:25,7.4167,81.8167,76.03,82,91,7.05
198,Fort Nelson,CA,2022-02-09 18:47:26,58.8053,-122.7002,4.59,85,100,11.5
199,Maralal,KE,2022-02-09 18:47:26,1.0968,36.698,60.94,55,50,5.7
200,Limon,CR,2022-02-09 18:47:27,10.0,-83.0333,82.29,69,0,5.75
201,Bogo,PH,2022-02-09 18:47:27,11.0517,124.0055,76.12,84,34,8.66
202,Namatanai,PG,2022-02-09 18:47:27,-3.6667,152.4333,78.76,82,42,0.69
203,Tanout,NE,2022-02-09 18:47:28,14.9709,8.8879,71.35,8,15,12.68
204,Newport,GB,2022-02-09 18:45:28,51.5877,-2.9984,48.69,85,100,4.38
205,Norman Wells,CA,2022-02-09 18:47:28,65.282,-126.8329,-9.36,59,100,26.46
206,Buala,SB,2022-02-09 18:47:29,-8.145,159.5921,79.02,84,38,6.78
207,Korla,CN,2022-02-09 18:47:29,41.7597,86.1469,26.06,48,100,3.02
208,Zabol,AF,2022-02-09 18:47:30,32.25,67.25,34.0,59,0,7.83
209,Benjamin Constant,BR,2022-02-09 18:47:30,-4.3831,-70.0311,84.33,74,40,3.44
210,Baykit,RU,2022-02-09 18:47:30,61.67,96.37,-9.42,97,100,2.59
211,Los Llanos De Aridane,ES,2022-02-09 18:47:31,28.6585,-17.9182,67.75,60,0,4.61
212,Lorengau,PG,2022-02-09 18:47:31,-2.0226,147.2712,80.98,80,59,3.27
213,Namibe,AO,2022-02-09 18:47:32,-15.1961,12.1522,74.97,75,100,12.08
214,Issoire,FR,2022-02-09 18:47:32,45.55,3.25,46.13,58,40,5.26
215,Sarakhs,IR,2022-02-09 18:47:32,36.5449,61.1577,46.54,61,0,2.3
216,Churapcha,RU,2022-02-09 18:47:33,62.0025,132.4325,-33.97,100,97,3.0
217,Grand Gaube,MU,2022-02-09 18:47:33,-20.0064,57.6608,77.4,75,5,1.99
218,Heihe,CN,2022-02-09 18:47:34,50.2441,127.4902,-1.61,96,100,6.73
219,Cumberland,US,2022-02-09 18:47:34,35.0502,-78.8664,60.49,35,0,4.61
220,Marawi,PH,2022-02-09 18:47:35,7.9986,124.2928,67.64,95,100,1.54
221,Reriutaba,BR,2022-02-09 18:47:35,-4.1417,-40.5822,86.61,54,84,3.94
222,Kodiak,US,2022-02-09 18:47:36,57.79,-152.4072,24.31,63,0,8.05
223,Isangel,VU,2022-02-09 18:47:36,-19.55,169.2667,77.99,98,100,34.25
224,George Town,MY,2022-02-09 18:44:20,5.4112,100.3354,80.53,96,20,3.44
225,Darab,IR,2022-02-09 18:47:37,28.7519,54.5444,52.95,34,0,2.01
226,Codrington,AU,2022-02-09 18:47:37,-38.2667,141.9667,58.46,82,100,5.7
227,San Quintin,MX,2022-02-09 18:44:14,30.4833,-115.95,68.49,32,100,4.27
228,Olinda,BR,2022-02-09 18:47:38,-8.0089,-34.8553,85.73,62,20,9.22
229,Tura,IN,2022-02-09 18:47:38,25.5198,90.2201,56.55,65,5,3.71
230,Kibaya,TZ,2022-02-09 18:47:38,-5.3,36.5667,64.29,68,100,0.49
231,Burns Lake,CA,2022-02-09 18:47:39,54.2331,-125.7533,31.42,98,100,5.14
232,Labuhan,ID,2022-02-09 18:47:39,-6.8844,112.2051,76.86,89,100,9.6
233,Aljezur,PT,2022-02-09 18:47:40,37.3191,-8.8033,53.74,84,1,5.59
234,Vila Franca Do Campo,PT,2022-02-09 18:42:50,37.7167,-25.4333,64.2,75,5,8.95
235,Mae Sai,TH,2022-02-09 18:47:40,20.4335,99.8762,60.89,63,6,2.71
236,Santa Isabel,BR,2022-02-09 18:47:41,-23.3156,-46.2214,77.65,76,87,8.21
237,Vestmannaeyjar,IS,2022-02-09 18:47:41,63.4427,-20.2734,32.99,59,0,17.27
238,Kahului,US,2022-02-09 18:47:41,20.8947,-156.47,75.85,73,20,8.99
239,Tallahassee,US,2022-02-09 18:45:11,30.4383,-84.2807,63.09,37,0,10.36
240,Altamont,US,2022-02-09 18:47:02,42.2068,-121.7372,50.4,49,0,10.36
241,Pochutla,MX,2022-02-09 18:47:42,15.7432,-96.4661,85.82,44,65,8.37
242,Talavera De La Reina,ES,2022-02-09 18:47:43,39.9635,-4.8308,49.12,59,0,4.27
243,Comodoro Rivadavia,AR,2022-02-09 18:43:00,-45.8667,-67.5,73.26,31,40,9.22
244,Nelson Bay,AU,2022-02-09 18:47:43,-32.7167,152.15,67.68,67,2,3.89
245,Port Hardy,CA,2022-02-09 18:47:44,50.6996,-127.4199,46.76,93,100,11.5
246,Port Macquarie,AU,2022-02-09 18:47:07,-31.4333,152.9167,60.76,81,3,4.23
247,Blizhne-Pesochnoye,RU,2022-02-09 18:47:44,55.3456,42.1015,16.03,96,100,4.23
248,Kruisfontein,ZA,2022-02-09 18:47:46,-34.0033,24.7314,65.88,82,0,3.98
249,Goderich,CA,2022-02-09 18:43:19,43.7501,-81.7165,39.9,70,100,17.27
250,Tessalit,ML,2022-02-09 18:47:46,20.1986,1.0114,72.61,7,0,9.04
251,Phan Thiet,VN,2022-02-09 18:47:47,10.9333,108.1,73.65,81,81,7.9
252,Solnechnyy,RU,2022-02-09 18:47:47,50.7214,136.6319,-2.51,98,100,2.1
253,Swan Hill,AU,2022-02-09 18:45:28,-35.3378,143.5544,64.27,65,9,9.06
254,Krasnyy Yar,RU,2022-02-09 18:47:48,46.5331,48.3456,33.73,71,100,13.47
255,Pangnirtung,CA,2022-02-09 18:47:48,66.1451,-65.7125,-13.0,64,20,2.3
256,Chuy,UY,2022-02-09 18:47:49,-33.6971,-53.4616,73.92,57,70,11.39
257,San Ramon,US,2022-02-09 18:43:39,37.7799,-121.978,69.98,38,0,7.0
258,Teya,RU,2022-02-09 18:47:49,60.3778,92.6267,-9.08,98,100,1.03
259,Komsomolskiy,UZ,2022-02-09 18:47:50,40.4272,71.7189,36.82,74,100,6.91
260,Cherskiy,RU,2022-02-09 18:47:50,68.75,161.3,-44.88,100,79,4.18
261,Murwara,IN,2022-02-09 18:47:50,23.85,80.4,65.39,51,100,7.11
262,Foumban,CM,2022-02-09 18:47:51,5.7291,10.9001,72.66,20,85,1.92
263,Sembakung,ID,2022-02-09 18:47:51,3.8167,117.25,76.93,98,100,1.77
264,Matay,EG,2022-02-09 18:47:51,28.419,30.7792,53.73,49,4,13.6
265,Awjilah,LY,2022-02-09 18:47:52,29.1081,21.2869,55.44,42,39,9.42
266,Margate,GB,2022-02-09 18:47:52,51.3813,1.3862,51.66,85,73,4.0
267,Vaasa,FI,2022-02-09 18:47:53,63.096,21.6158,30.22,86,0,4.61
268,Roma,US,2022-02-09 18:46:39,43.2128,-75.4557,42.73,55,0,12.66
269,Siyabuswa,ZA,2022-02-09 18:47:53,-25.1132,29.0445,77.36,43,10,1.99
270,Sorong,ID,2022-02-09 18:47:54,-0.8833,131.25,78.93,83,100,2.46
271,Ostrovnoy,RU,2022-02-09 18:47:54,68.0531,39.5131,24.57,85,100,23.29
272,Cuamba,MZ,2022-02-09 18:47:54,-14.8031,36.5372,71.02,94,100,2.51
273,Solano,US,2022-02-09 18:47:55,38.2333,-121.9511,73.18,46,0,10.36
274,Port Augusta,AU,2022-02-09 18:47:55,-32.5,137.7667,62.74,72,0,12.95
275,Bowen,AU,2022-02-09 18:44:43,-20.0167,148.2333,70.02,72,19,4.68
276,Yantal,RU,2022-02-09 18:47:56,56.8471,105.2542,-24.12,100,100,1.79
277,Kenai,US,2022-02-09 18:47:57,60.5544,-151.2583,19.49,92,100,5.75
278,Ossora,RU,2022-02-09 18:47:57,59.2353,163.0719,-11.63,100,47,2.68
279,Shenkursk,RU,2022-02-09 18:47:58,62.1091,42.896,21.36,97,98,4.32
280,Guerrero Negro,MX,2022-02-09 18:46:15,27.9769,-114.0611,70.61,26,98,5.06
281,Petropavlovsk-Kamchatskiy,RU,2022-02-09 18:47:58,53.0452,158.6483,19.99,100,75,4.47
282,Broken Hill,AU,2022-02-09 18:47:58,-31.95,141.4333,69.51,52,15,17.27
283,Brae,GB,2022-02-09 18:47:59,60.3964,-1.353,39.11,66,88,32.37
284,Krasnoselkup,RU,2022-02-09 18:47:59,65.7,82.4667,-11.74,87,51,10.6
285,Coahuayana,MX,2022-02-09 18:48:00,18.7333,-103.6833,85.89,34,0,7.76
286,Mercedes,AR,2022-02-09 18:48:00,-34.6515,-59.4307,84.85,22,0,5.66
287,Portland,US,2022-02-09 18:45:59,45.5234,-122.6762,54.45,83,75,1.01
288,Omsukchan,RU,2022-02-09 18:48:01,62.5333,155.8,-22.59,71,70,3.24
289,Tadine,NC,2022-02-09 18:48:01,-21.55,167.8833,80.38,90,100,23.35
290,Souillac,MU,2022-02-09 18:48:02,-20.5167,57.5167,77.38,83,40,4.61
291,Mount Pleasant,US,2022-02-09 18:43:05,32.7941,-79.8626,60.1,43,0,5.75
292,Luce,FR,2022-02-09 18:48:02,48.4369,1.4636,47.01,78,47,1.99
