City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
436,Popondetta,PG,79.38,overcast clouds,-8.7537,148.2534,Timos Transit House
443,East London,ZA,76.53,few clouds,-33.0153,27.9116,Tu Casa
446,Vaitape,PF,81.46,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
449,Sehwan,PK,78.62,clear sky,26.4279,67.863,Lal Shahbaz Motel STDC
455,Nanakuli,US,75.15,overcast clouds,21.3906,-158.1547,Camp Pālehua
465,Sambava,MG,84.11,few clouds,-14.2667,50.1667,Melrose
467,Gorontalo,ID,83.39,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
468,Namatanai,PG,80.29,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
471,Kirakira,SB,79.32,overcast clouds,-10.4544,161.9205,SanBiz Lodge
472,Roxana,CR,79.32,few clouds,10.2753,-83.7513,3BYES1
473,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
481,Parrita,CR,80.37,clear sky,9.5201,-84.3225,Beso del Viento
492,Mwingi,KE,81.09,scattered clouds,-0.9344,38.0601,Thorn Tree by The Address
494,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
500,Soyo,AO,80.17,overcast clouds,-6.1349,12.3689,Hotel Mpampa
501,Goundi,TD,82.87,clear sky,9.3627,17.366,
506,Mweka,CD,78.96,overcast clouds,-4.85,21.5667,Guest House Boshab
509,Sorong,ID,82.99,broken clouds,-0.8833,131.25,Waigo Splash Hotel
512,Kassala,SD,79.23,clear sky,15.451,36.4,Amassi Hotel Gash
517,Tandag,PH,81.25,broken clouds,9.0783,126.1986,Mercedes Inn and Restaurant
519,Dwarka,IN,76.32,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
520,Kodinar,IN,83.62,clear sky,20.7903,70.7031,residency of N.B vadhel
526,Inhambane,MZ,85.98,scattered clouds,-23.865,35.3833,Oceano
528,Mogadishu,SO,83.3,broken clouds,2.0371,45.3438,Hotel Juba
544,Catamarca,AR,77.77,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
545,Cotonou,BJ,81.12,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
548,Kanniyakumari,IN,86.36,scattered clouds,8.0833,77.5667,Sparsa
549,Ambilobe,MG,81.3,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
553,Kavaratti,IN,80.51,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
556,Gamba,GA,75.27,light rain,-2.65,10.0,
563,Angoche,MZ,84.88,scattered clouds,-16.2325,39.9086,Guest House HESADA
566,Fare,PF,81.5,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
567,Gladstone,AU,82.33,clear sky,-23.85,151.25,Highpoint International Hotel
572,Buala,SB,79.74,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
575,Hirekerur,IN,87.89,few clouds,14.4667,75.3833,Shivali Lodge
